type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	comments_retrieved	comments_base	comments_replies	comment_likes_count	rea_NONE	rea_LIKE	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL	place	count
video	post_user_1008279892518211	1008279892518211_1707708025908724	https://www.facebook.com/1008279892518211/posts/1707708025908724	بدون تعليق .. سائق حافلة شركة TCV من المرسى - تونس يسوق و يشاتي ! 😲🇹🇳🤔😵	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/21544585_1439756186061974_5421848035934076928_n.jpg?oh=085808c1cb2801830bd24ffbbedb0b89&oe=5A4C6407	https://scontent.xx.fbcdn.net/v/t15.0-10/21544585_1439756186061974_5421848035934076928_n.jpg?oh=8ce55ed337d8fb19ce46e30711668049&oe=5A48F87C	https://www.facebook.com/TunisieLiveOff/videos/1439755449395381/	facebook.com	2017-09-09T16:37:13+0000	1504975033	2017-09-09 18:37:13	3	1	12	2	15	1	1	0	0	0	3	0	3	1	0	5	0	tunis	1
status	post_user_1008279892518211	1008279892518211_1706822215997305	https://www.facebook.com/1008279892518211/posts/1706822215997305	نحب نفهم تونيسار فاش تعمل شنوه تفسير تاخير كل رحلة يوم 28 سبتمبر قعدت في الطيارة نستنا ساعتين في مطار ارلي و ليوم عاملة تاخير من تونس بساعة على الاقل نحب نفهم توانسة اللي يخدمو في طياران شنوة تفسير تاخير غير عادي ناس تستنا بسوايع ولي مبهتني انوه بلاد كل تعرف سلبيات هاذي وحتى حد ما تحرك لا مسئولين لاشيء شئ يواقف مخ و يحشم حتى قدام المسافرين الاجانب ....وقتاش ناوين نقدموا.....					2017-09-08T18:20:14+0000	1504894814	2017-09-08 20:20:14	9	24	9	2	35	24	15	9	20	0	9	0	0	0	0	0	0	tunis	1
photo	post_user_1008279892518211	1008279892518211_1707785789234281	https://www.facebook.com/1008279892518211/posts/1707785789234281	David Pawlo shared ‎Delta tunisie دلتا تونس‎ s post to the group: WINOU ETROTTOIR???...	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/21430117_1701291603255597_8151540855003569841_n.jpg?oh=d256b2150cd9e53bb1fc81c505ee7c64&oe=5A59E1E1	https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/21414866_1701291603255597_8151540855003569841_o.jpg?oh=2228653498cc45d098fe8ca192240bb8&oe=5A5B0233	https://www.facebook.com/630521226999312/photos/a.1104390809612349.1073741887.630521226999312/1701291603255597/?type=3	facebook.com	2017-09-09T18:09:22+0000	1504980562	2017-09-09 20:09:22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	tunis	1
link	post_user_1008279892518211	1008279892518211_1707664435913083	https://www.facebook.com/1008279892518211/posts/1707664435913083	Bonjour  chers membres de la page  winou etrottoir??  Statut  vraiment hors sujet   mais je me permet de partage une page que  je trouve personnellement que sa parle très mal de la Tunisie     À mon avis l admin  c est un  zmegri  mrabit barcha et surtout  il a un grand problème avec la femme tunisienne et la tunisie !  A vous de voir ! moi j ai signalé la page ! Merci   https://m.facebook.com/verite.tunisienne/	https://scontent.xx.fbcdn.net/v/t1.0-1/p200x200/21271222_1637994632886056_4707746039619900938_n.jpg?oh=9486b65e5ab12159631ac84340bae65f&oe=5A1338C8	https://scontent.xx.fbcdn.net/v/t1.0-1/p200x200/21271222_1637994632886056_4707746039619900938_n.jpg?oh=9486b65e5ab12159631ac84340bae65f&oe=5A1338C8	https://www.facebook.com/verite.tunisienne/	facebook.com	2017-09-09T15:46:13+0000	1504971973	2017-09-09 17:46:13	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	tunis	1
photo	post_user_1008279892518211	1008279892518211_1707654965914030	https://www.facebook.com/1008279892518211/posts/1707654965914030	David Pawlo shared ‎Delta tunisie دلتا تونس‎ s post to the group: WINOU ETROTTOIR???...	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/21370833_1701178699933554_3817346705615618308_n.jpg?oh=600e55c2c7eef146578ee65dfd690f03&oe=5A4BA2F5	https://scontent.xx.fbcdn.net/v/t1.0-9/21370833_1701178699933554_3817346705615618308_n.jpg?oh=aefc30eec1602dc59cbc47ec35e9eaed&oe=5A16C79E	https://www.facebook.com/630521226999312/photos/a.1104390809612349.1073741887.630521226999312/1701178699933554/?type=3	facebook.com	2017-09-09T15:33:37+0000	1504971217	2017-09-09 17:33:37	0	0	2	0	2	0	0	0	0	0	0	0	0	0	1	1	0	tunis	1
photo	post_user_1008279892518211	1008279892518211_1705463736133153	https://www.facebook.com/1008279892518211/posts/1705463736133153	هذا التخلف. هذي البهامة.هذي  السطاكة. هذو الدواب.هاذو الحيوانات حاشى الحيونات .   الميترو يستانى في البهايم  يخليولو ثنيتو الي كان عطى ربي ميدخللها حد. حتى من البلدية تنضم للبهيم. انا اول مرة نشارككم في القروب و سامحوني بديتها بالبهايم . مسكينة تونس	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/21317652_10210258167386711_5982468538451690598_n.jpg?oh=1399e6a63992997413f15b91ded32d02&oe=5A466DFE	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/21317652_10210258167386711_5982468538451690598_n.jpg?oh=c82c7385708d505feb7688e7e74ae664&oe=5A4ADBF3	https://www.facebook.com/photo.php?fbid=10210258167386711&set=gm.1705463736133153&type=3	facebook.com	2017-09-07T12:05:17+0000	1504785917	2017-09-07 14:05:17	132	131	289	113	533	131	95	36	150	0	132	3	34	11	12	96	0	tunis	1
photo	post_user_1008279892518211	1008279892518211_1707424982603695	https://www.facebook.com/1008279892518211/posts/1707424982603695	Mohamed Med shared ‎انتبه أنت في تونس‎ s post to the group: WINOU ETROTTOIR???...	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/21430294_1670823819644551_463738030416441222_n.jpg?oh=d8587f6b7fb05fb776e54bf07416ee07&oe=5A4AF851	https://scontent.xx.fbcdn.net/v/t1.0-9/21430294_1670823819644551_463738030416441222_n.jpg?oh=ac3b2612ed3113e9fc39f53745a70560&oe=5A13B0CC	https://www.facebook.com/326120170781596/photos/a.1200918169968454.1073741825.326120170781596/1670823819644551/?type=3	facebook.com	2017-09-09T10:33:44+0000	1504953224	2017-09-09 12:33:44	11	3	13	2	18	3	3	0	2	0	11	0	1	1	0	0	0	tunis	1
photo	post_user_1008279892518211	1008279892518211_1707404929272367	https://www.facebook.com/1008279892518211/posts/1707404929272367	إحدى الأسباب المباشرة لتمهميشة Google Map و نظام GPS في تونس !!!	https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/21432756_10212794364268219_6094544602805216930_n.jpg?oh=97e808532d1619caeb7bfde362a73005&oe=5A4C4382	https://scontent.xx.fbcdn.net/v/t1.0-9/21432756_10212794364268219_6094544602805216930_n.jpg?oh=90ba68118a67688004a55ae5fe79ecb2&oe=5A1AD725	https://www.facebook.com/photo.php?fbid=10212794364268219&set=gm.1707404929272367&type=3	facebook.com	2017-09-09T09:53:07+0000	1504950787	2017-09-09 11:53:07	10	1	26	0	27	1	1	0	1	0	10	2	0	14	0	0	0	tunis	1
photo	post_user_1008279892518211	1008279892518211_1705967586082768	https://www.facebook.com/1008279892518211/posts/1705967586082768	Hôpital la rapta aujourd hui vraiment catastrophe meskina tounes	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/21430295_734925403357256_2306026362520939556_n.jpg?oh=4d7a9a2605fb8cd574f40049046a8531&oe=5A135088	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/21430295_734925403357256_2306026362520939556_n.jpg?oh=04ebb6db711972a76f556f339190d557&oe=5A48CB77	https://www.facebook.com/photo.php?fbid=734925403357256&set=gm.1705967586082768&type=3	facebook.com	2017-09-07T22:06:25+0000	1504821985	2017-09-08 00:06:25	18	23	52	0	75	22	12	10	28	0	18	1	10	1	16	6	0	tunis	1
video	post_user_1008279892518211	1008279892518211_1704651529547707	https://www.facebook.com/1008279892518211/posts/1704651529547707	ان شاء الله يصير كيفها في تونس https://www.facebook.com/elbilad/videos/1666049903455964/	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/21461939_1666058963455058_1447893364505575424_n.jpg?oh=49480eb80b55d062c366696a1afba33a&oe=5A5FD810	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/21461939_1666058963455058_1447893364505575424_n.jpg?oh=7a1a8678ae1de57860453495af0fe001&oe=5A1D5732	https://www.facebook.com/elbilad/videos/1666049903455964/	facebook.com	2017-09-06T16:42:53+0000	1504716173	2017-09-06 18:42:53	109	13	126	53	192	13	11	2	10	0	109	17	0	0	0	0	0	tunis	1
video	post_user_1008279892518211	1008279892518211_1704836032862590	https://www.facebook.com/1008279892518211/posts/1704836032862590	Med Iheb Hakimi shared ‎بن عروس الجديدة‎ s video to the group: WINOU ETROTTOIR???...	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/21367850_272488189909222_9183607627605606400_n.jpg?oh=61dd1fb6a099aac5ed3ae830e83992f7&oe=5A4C3D2D	https://scontent.xx.fbcdn.net/v/t15.0-10/21367850_272488189909222_9183607627605606400_n.jpg?oh=c4ff7e82c4270a8351d9e49830e8eae1&oe=5A563FC0	https://www.facebook.com/248572405634134/videos/272486156576092/	facebook.com	2017-09-06T20:19:26+0000	1504729166	2017-09-06 22:19:26	10	6	17	10	33	6	6	0	0	0	10	0	0	0	2	5	0	benArous	1
photo	post_user_1008279892518211	1008279892518211_1705356502810543	https://www.facebook.com/1008279892518211/posts/1705356502810543	Alain savary a cote du centre sportif de la #steg #tunis ! On sait que le pays est tres sale .mais ce qui est frappant c est que personne ne nettoie depuis 6 mois cette zone ! A qui revient la faute ??? La maire ? Le gouverneur ?  Le ministere ??	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/21272640_10213569387044091_5426680136260464081_n.jpg?oh=7bc9ced1dd878cb998ebf82b66d7e44e&oe=5A5EA437	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/21272640_10213569387044091_5426680136260464081_n.jpg?oh=64ddf032fca31e7499ecad75e8610581&oe=5A5EFE3A	https://www.facebook.com/photo.php?fbid=10213569387044091&set=gm.1705356502810543&type=3	facebook.com	2017-09-07T09:34:08+0000	1504776848	2017-09-07 11:34:08	3	8	10	7	25	8	8	0	6	0	3	0	0	0	2	5	0	tunis	1
photo	post_user_1008279892518211	1008279892518211_1705447179468142	https://www.facebook.com/1008279892518211/posts/1705447179468142	David Pawlo shared ‎Delta tunisie دلتا تونس‎ s post to the group: WINOU ETROTTOIR???...	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/21371403_1698984290152995_5922671035709722665_n.jpg?oh=d1c732a7269fda5eac50a3d15d39e88d&oe=5A1A41C9	https://scontent.xx.fbcdn.net/v/t1.0-9/21371403_1698984290152995_5922671035709722665_n.jpg?oh=86b7065fd8ace7c074c1862563eb5483&oe=5A5274A2	https://www.facebook.com/630521226999312/photos/a.1104390809612349.1073741887.630521226999312/1698984290152995/?type=3	facebook.com	2017-09-07T11:41:28+0000	1504784488	2017-09-07 13:41:28	6	1	7	1	9	1	1	0	0	0	6	0	0	1	0	0	0	tunis	1
photo	post_user_1008279892518211	1008279892518211_1704694906210036	https://www.facebook.com/1008279892518211/posts/1704694906210036	Lettre ouverte a monsieur le president de la deleguation speciale de la municipalite de tunis Vous avez annoncer publiquement le debut officiel du travail de la police environnementale afin de veiller a la proprete de la ville de tunis  aussi vous avez annoncer les horaires d enlevement des dechets et de sortie des menages ainsi que la mise en place de container. Toutes personnes ne se conformant pas a ces dispositions serait passibles d amendes. On a a plusieurs reprises fait lieu de dechets en plein centre ville sur les trottoirs  en plein rue  dans plusieurs coins  et aucune mesures de votre soit disant police n a ete faites pire encore la plus parts des restaurants de la rue de marseilles n ont pas container et jettent leurs dechets au coin de la rue de marseille rue mokhtar attia. Cette fois je tiens a vous montrer une photo a la rue mokhtar attia  plein coeur de tunis  en vue des passants et des touristes a 18h00  l etat du trottoir sachant que votre police environnementale est entrain de dormir Ou de se balader avec les voitures du ministere.	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/21314605_10208520584206703_4899415248739326230_n.jpg?oh=7aea5d184cb348f3a44488bf3eea9dcc&oe=5A51A6D5	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/21314605_10208520584206703_4899415248739326230_n.jpg?oh=c4d97f0f1ffad0e776adce1443917b22&oe=5A5244D8	https://www.facebook.com/photo.php?fbid=10208520584206703&set=gm.1704694906210036&type=3	facebook.com	2017-09-06T17:40:56+0000	1504719656	2017-09-06 19:40:56	4	5	11	8	24	5	3	2	0	0	4	0	4	1	0	2	0	tunis	1
link	post_user_1008279892518211	1008279892518211_1704384009574459	https://www.facebook.com/1008279892518211/posts/1704384009574459	ر.م.ع الخطوط التونسية : أغلب أعوان نقل البضائع والأمتعة بالشركة من ذوي السوابق العدلية 😮 ودى حتكتبها ازاى يا حسيين ....اكتبها بالحبر السري 🙄	https://external.xx.fbcdn.net/safe_image.php?d=AQDPpURh44t4BfiM&w=130&h=130&url=http%3A%2F%2Fmedia.shemsfm.net%2Fuploads%2Fcontent%2Fbig%2F1504696572_article.jpg&cfs=1&sx=170&sy=0&sw=400&sh=400&_nc_hash=AQCmnxxifqzXv-us	https://external.xx.fbcdn.net/safe_image.php?d=AQD6yiGt4MlW5YyC&url=http%3A%2F%2Fmedia.shemsfm.net%2Fuploads%2Fcontent%2Fbig%2F1504696572_article.jpg&_nc_hash=AQD0RLJnmOD-AsmB	http://www.shemsfm.net/ar/%D8%A7%D9%84%D8%A3%D8%AE%D8%A8%D8%A7%D8%B1_%D8%A3%D8%AE%D8%A8%D8%A7%D8%B1-%D8%AA%D9%88%D9%86%D8%B3_%D8%A7%D9%84%D8%A3%D8%AE%D8%A8%D8%A7%D8%B1-%D8%A7%D9%84%D9%88%D8%B7%D9%86%D9%8A%D8%A9/174662/%D8%B1-%D9%85-%D8%B9-%D8%A7%D9%84%D8%AE%D8%B7%D9%88%D8%B7-%D8%A7%D9%84%D8%AA%D9%88%D9%86%D8%B3%D9%8A%D8%A9-%D8%A3%D8%BA%D9%84%D8%A8-%D8%A3%D8%B9%D9%88%D8%A7%D9%86-%D9%86%D9%82%D9%84-%D8%A7%D9%84%D8%A8%D8%B6%D8%A7%D8%A6%D8%B9-%D9%88%D8%A7%D9%84%D8%A3%D9%85%D8%AA%D8%B9%D8%A9-%D8%A8%D8%A7%D9%84%D8%B4%D8%B1%D9%83%D8%A9-%D9%85%D9%86-%D8%B0%D9%88%D9%8A-%D8%A7%D9%84%D8%B3%D9%88%D8%A7%D8%A8%D9%82-%D8%A7%D9%84%D8%B9%D8%AF%D9%84%D9%8A%D8%A9	shemsfm.net	2017-09-06T11:45:36+0000	1504698336	2017-09-06 13:45:36	29	33	61	57	151	33	33	0	11	0	29	0	10	6	3	12	0	tunis	1
